"time_steps","peach-sweep-10 - _step","peach-sweep-10 - _step__MIN","peach-sweep-10 - _step__MAX","peach-sweep-10 - r_mean","peach-sweep-10 - r_mean__MIN","peach-sweep-10 - r_mean__MAX","exalted-sweep-9 - _step","exalted-sweep-9 - _step__MIN","exalted-sweep-9 - _step__MAX","exalted-sweep-9 - r_mean","exalted-sweep-9 - r_mean__MIN","exalted-sweep-9 - r_mean__MAX","balmy-sweep-8 - _step","balmy-sweep-8 - _step__MIN","balmy-sweep-8 - _step__MAX","balmy-sweep-8 - r_mean","balmy-sweep-8 - r_mean__MIN","balmy-sweep-8 - r_mean__MAX","still-sweep-7 - _step","still-sweep-7 - _step__MIN","still-sweep-7 - _step__MAX","still-sweep-7 - r_mean","still-sweep-7 - r_mean__MIN","still-sweep-7 - r_mean__MAX","graceful-sweep-6 - _step","graceful-sweep-6 - _step__MIN","graceful-sweep-6 - _step__MAX","graceful-sweep-6 - r_mean","graceful-sweep-6 - r_mean__MIN","graceful-sweep-6 - r_mean__MAX","lively-sweep-5 - _step","lively-sweep-5 - _step__MIN","lively-sweep-5 - _step__MAX","lively-sweep-5 - r_mean","lively-sweep-5 - r_mean__MIN","lively-sweep-5 - r_mean__MAX","astral-sweep-4 - _step","astral-sweep-4 - _step__MIN","astral-sweep-4 - _step__MAX","astral-sweep-4 - r_mean","astral-sweep-4 - r_mean__MIN","astral-sweep-4 - r_mean__MAX","light-sweep-3 - _step","light-sweep-3 - _step__MIN","light-sweep-3 - _step__MAX","light-sweep-3 - r_mean","light-sweep-3 - r_mean__MIN","light-sweep-3 - r_mean__MAX","eternal-sweep-2 - _step","eternal-sweep-2 - _step__MIN","eternal-sweep-2 - _step__MAX","eternal-sweep-2 - r_mean","eternal-sweep-2 - r_mean__MIN","eternal-sweep-2 - r_mean__MAX","hardy-sweep-1 - _step","hardy-sweep-1 - _step__MIN","hardy-sweep-1 - _step__MAX","hardy-sweep-1 - r_mean","hardy-sweep-1 - r_mean__MIN","hardy-sweep-1 - r_mean__MAX"
"10500","525","525","525","33.23490143715466","33.23490143715466","33.23490143715466","525","525","525","31.731601950669933","31.731601950669933","31.731601950669933","525","525","525","31.306998321749884","31.306998321749884","31.306998321749884","525","525","525","38.628338672085796","38.628338672085796","38.628338672085796","525","525","525","37.097504829566816","37.097504829566816","37.097504829566816","525","525","525","37.93703605543575","37.93703605543575","37.93703605543575","525","525","525","33.87402907422028","33.87402907422028","33.87402907422028","525","525","525","29.166871328239917","29.166871328239917","29.166871328239917","525","525","525","32.08150143684449","32.08150143684449","32.08150143684449","525","525","525","40.20121493943094","40.20121493943094","40.20121493943094"
"11000","550","550","550","36.00136391561779","36.00136391561779","36.00136391561779","550","550","550","30.65646157259669","30.65646157259669","30.65646157259669","550","550","550","33.62003285721704","33.62003285721704","33.62003285721704","550","550","550","39.92436847868857","39.92436847868857","39.92436847868857","550","550","550","42.02709299962852","42.02709299962852","42.02709299962852","550","550","550","40.9810412123383","40.9810412123383","40.9810412123383","550","550","550","32.523417775770774","32.523417775770774","32.523417775770774","550","550","550","37.51589830844214","37.51589830844214","37.51589830844214","550","550","550","39.013517687279666","39.013517687279666","39.013517687279666","550","550","550","38.160071312557754","38.160071312557754","38.160071312557754"
"11500","575","575","575","35.473272873285126","35.473272873285126","35.473272873285126","575","575","575","31.3331218241323","31.3331218241323","31.3331218241323","575","575","575","40.32998716473834","40.32998716473834","40.32998716473834","575","575","575","41.91640972655819","41.91640972655819","41.91640972655819","575","575","575","41.07545058077423","41.07545058077423","41.07545058077423","575","575","575","33.588378039804454","33.588378039804454","33.588378039804454","575","575","575","34.858863332931875","34.858863332931875","34.858863332931875","575","575","575","37.62525977809626","37.62525977809626","37.62525977809626","575","575","575","39.31755792191334","39.31755792191334","39.31755792191334","575","575","575","38.241713242027465","38.241713242027465","38.241713242027465"
"12000","600","600","600","37.519880383629555","37.519880383629555","37.519880383629555","600","600","600","34.83862097981495","34.83862097981495","34.83862097981495","600","600","600","42.23279726792517","42.23279726792517","42.23279726792517","600","600","600","40.07043009133014","40.07043009133014","40.07043009133014","600","600","600","36.76306003580255","36.76306003580255","36.76306003580255","600","600","600","31.186818789311737","31.186818789311737","31.186818789311737","600","600","600","33.54090806096353","33.54090806096353","33.54090806096353","600","600","600","35.915375609648066","35.915375609648066","35.915375609648066","600","600","600","37.56741039101446","37.56741039101446","37.56741039101446","600","600","600","36.52656244474996","36.52656244474996","36.52656244474996"
"12500","625","625","625","41.8674779321311","41.8674779321311","41.8674779321311","625","625","625","40.724966663319634","40.724966663319634","40.724966663319634","625","625","625","34.648666782226265","34.648666782226265","34.648666782226265","625","625","625","45.077645596569916","45.077645596569916","45.077645596569916","625","625","625","34.510548024244365","34.510548024244365","34.510548024244365","625","625","625","33.21116844506388","33.21116844506388","33.21116844506388","625","625","625","37.54569022096515","37.54569022096515","37.54569022096515","625","625","625","39.37611789442781","39.37611789442781","39.37611789442781","625","625","625","41.22984950718515","41.22984950718515","41.22984950718515","625","625","625","40.067718589347265","40.067718589347265","40.067718589347265"
"13000","650","650","650","42.006828054748176","42.006828054748176","42.006828054748176","650","650","650","40.0045554889935","40.0045554889935","40.0045554889935","650","650","650","34.710265066070846","34.710265066070846","34.710265066070846","650","650","650","45.065997456178714","45.065997456178714","45.065997456178714","650","650","650","35.499091562870916","35.499091562870916","35.499091562870916","650","650","650","33.91899425059594","33.91899425059594","33.91899425059594","650","650","650","40.18249914470527","40.18249914470527","40.18249914470527","650","650","650","37.9283576745665","37.9283576745665","37.9283576745665","650","650","650","38.95038397469494","38.95038397469494","38.95038397469494","650","650","650","40.13934355676295","40.13934355676295","40.13934355676295"
"13500","675","675","675","42.201781271056646","42.201781271056646","42.201781271056646","675","675","675","35.64195739593575","35.64195739593575","35.64195739593575","675","675","675","40.91572976202898","40.91572976202898","40.91572976202898","675","675","675","38.68024543551792","38.68024543551792","38.68024543551792","675","675","675","36.00088321660426","36.00088321660426","36.00088321660426","675","675","675","34.038138480560335","34.038138480560335","34.038138480560335","675","675","675","41.76621297753118","41.76621297753118","41.76621297753118","675","675","675","36.66238380042226","36.66238380042226","36.66238380042226","675","675","675","45.35069254483918","45.35069254483918","45.35069254483918","675","675","675","41.82441618262844","41.82441618262844","41.82441618262844"
"14000","700","700","700","43.46429707043568","43.46429707043568","43.46429707043568","700","700","700","37.82787857902914","37.82787857902914","37.82787857902914","700","700","700","41.57793262332205","41.57793262332205","41.57793262332205","700","700","700","41.60748218424892","41.60748218424892","41.60748218424892","700","700","700","36.70480616925054","36.70480616925054","36.70480616925054","700","700","700","35.907719248389796","35.907719248389796","35.907719248389796","700","700","700","43.612347418691755","43.612347418691755","43.612347418691755","700","700","700","42.286097721429414","42.286097721429414","42.286097721429414","700","700","700","45.44942623818991","45.44942623818991","45.44942623818991","700","700","700","44.5745506421953","44.5745506421953","44.5745506421953"
"14500","725","725","725","41.735630383789015","41.735630383789015","41.735630383789015","725","725","725","36.97926695518647","36.97926695518647","36.97926695518647","725","725","725","47.922888344764104","47.922888344764104","47.922888344764104","725","725","725","43.14456696056841","43.14456696056841","43.14456696056841","725","725","725","38.39917618451023","38.39917618451023","38.39917618451023","725","725","725","42.51246112475622","42.51246112475622","42.51246112475622","725","725","725","43.8519599363786","43.8519599363786","43.8519599363786","725","725","725","41.77540905430825","41.77540905430825","41.77540905430825","725","725","725","38.44481193239901","38.44481193239901","38.44481193239901","725","725","725","39.00035281402058","39.00035281402058","39.00035281402058"
"15000","750","750","750","42.758605237011","42.758605237011","42.758605237011","750","750","750","37.87323147735188","37.87323147735188","37.87323147735188","750","750","750","44.892620524592374","44.892620524592374","44.892620524592374","750","750","750","38.818827542805224","38.818827542805224","38.818827542805224","750","750","750","38.94822459853527","38.94822459853527","38.94822459853527","750","750","750","43.73046442082982","43.73046442082982","43.73046442082982","750","750","750","42.90060814416847","42.90060814416847","42.90060814416847","750","750","750","40.838380658338274","40.838380658338274","40.838380658338274","750","750","750","43.17614322862033","43.17614322862033","43.17614322862033","750","750","750","41.93714920858403","41.93714920858403","41.93714920858403"
